name,customer_name,location,start_date,end_date,status,estimated_cost,estimated_panels
"Lusail Towers Project","Al Rayyan Construction","Lusail, Qatar","2024-01-15","2024-06-30","active",500000,1200
"West Bay Office Complex","Qatar Building Solutions","West Bay, Qatar","2024-02-01","2024-08-15","active",750000,1800
"Al Wakrah Stadium Extension","Doha Development Corp","Al Wakrah, Qatar","2024-03-01","2024-09-30","active",300000,800
"Katara Cultural Village","Al Rayyan Construction","Katara, Qatar","2024-04-01","2024-10-31","active",450000,1000
"Hamad International Airport","Qatar Building Solutions","Doha, Qatar","2024-05-01","2024-11-30","active",900000,2200
"Education City Phase 2","Doha Development Corp","Education City, Qatar","2024-06-01","2024-12-31","active",600000,1500
"The Pearl Residential","Al Rayyan Construction","The Pearl, Qatar","2024-07-01","2025-01-31","active",800000,2000
"Qatar National Library","Qatar Building Solutions","Education City, Qatar","2024-08-01","2025-02-28","active",350000,900
"Al Khor Corniche","Doha Development Corp","Al Khor, Qatar","2024-09-01","2025-03-31","active",250000,600
"Hamad Medical City","Al Rayyan Construction","Hamad Medical City, Qatar","2024-10-01","2025-04-30","active",700000,1700 
